length,hostname_length,Special_Char_Count,HTTPS,urlDigits_ratio,hostnameDigits_ratio
34,31,7,1,0.0,0.0
68,31,12,1,0.058823529411764705,0.0
55,28,11,1,0.0,0.0
44,23,8,0,0.0,0.0
49,33,8,1,0.0,0.0
48,24,8,1,0.0,0.0
75,23,9,0,0.26666666666666666,0.0
60,25,12,1,0.08333333333333333,0.0
40,28,8,0,0.0,0.0
54,26,10,0,0.07407407407407407,0.0
64,26,11,1,0.0,0.0
98,24,14,0,0.07142857142857142,0.0
57,31,9,0,0.0,0.0
32,21,7,0,0.0,0.0
124,21,20,0,0.03225806451612903,0.0
24,21,6,0,0.0,0.0
47,31,9,1,0.0425531914893617,0.06451612903225806
128,20,22,0,0.265625,0.0
61,34,9,0,0.0,0.0
48,25,7,1,0.0,0.0
204,36,19,1,0.09803921568627451,0.0
45,28,9,1,0.0,0.0
40,31,9,0,0.0,0.0
93,36,10,0,0.24731182795698925,0.0
72,24,12,1,0.18055555555555555,0.0
48,33,13,0,0.041666666666666664,0.030303030303030304
81,62,12,0,0.14814814814814814,0.0
40,40,7,1,0.0,0.0
65,24,12,0,0.0,0.0
39,22,7,0,0.0,0.0
45,36,9,1,0.022222222222222223,0.027777777777777776
91,27,12,1,0.08791208791208792,0.0
41,22,8,1,0.04878048780487805,0.09090909090909091
60,31,11,0,0.0,0.0
44,29,8,0,0.11363636363636363,0.0
85,28,11,1,0.0,0.0
188,19,30,0,0.26063829787234044,0.0
43,35,9,0,0.0,0.0
56,25,10,0,0.03571428571428571,0.0
129,22,12,0,0.46511627906976744,0.09090909090909091
132,31,25,1,0.10606060606060606,0.0
37,31,7,1,0.0,0.0
85,29,11,0,0.24705882352941178,0.0
43,29,7,0,0.09302325581395349,0.0
51,27,8,1,0.0,0.0
31,22,8,0,0.0,0.0
148,25,24,1,0.23648648648648649,0.0
74,22,9,0,0.20270270270270271,0.0
66,22,8,0,0.19696969696969696,0.0
53,31,10,1,0.0,0.0
113,24,13,1,0.07079646017699115,0.0
90,26,10,1,0.17777777777777778,0.0
35,30,7,0,0.0,0.0
62,35,10,0,0.016129032258064516,0.0
41,29,8,1,0.0,0.0
55,21,11,0,0.0,0.0
50,28,7,1,0.0,0.0
29,23,9,1,0.10344827586206896,0.0
41,39,6,0,0.0,0.0
51,32,10,0,0.13725490196078433,0.03125
46,22,11,0,0.0,0.0
81,24,12,0,0.0,0.0
88,24,15,0,0.011363636363636364,0.0
48,24,9,0,0.0,0.0
52,31,8,0,0.038461538461538464,0.0
58,22,13,0,0.0,0.0
22,19,7,0,0.0,0.0
209,32,29,0,0.1674641148325359,0.0625
46,19,10,0,0.15217391304347827,0.15789473684210525
78,37,10,0,0.02564102564102564,0.0
88,31,16,1,0.13636363636363635,0.0
65,32,11,0,0.06153846153846154,0.0
40,26,6,1,0.05,0.0
92,36,14,1,0.043478260869565216,0.0
51,25,10,0,0.0,0.0
134,22,19,0,0.34328358208955223,0.0
35,32,6,0,0.0,0.0
188,32,26,0,0.20212765957446807,0.0625
102,31,16,0,0.00980392156862745,0.0
115,50,16,0,0.20869565217391303,0.0
48,31,9,0,0.08333333333333333,0.0
34,29,7,1,0.0,0.0
70,25,9,1,0.07142857142857142,0.0
40,21,10,0,0.125,0.0
45,22,11,0,0.0,0.0
29,26,6,1,0.0,0.0
50,31,11,0,0.0,0.0
260,21,8,1,0.11923076923076924,0.0
42,38,6,0,0.023809523809523808,0.02631578947368421
65,21,12,0,0.3384615384615385,0.0
52,25,10,0,0.07692307692307693,0.0
45,24,7,0,0.0,0.0
58,26,10,1,0.0,0.0
50,33,10,0,0.08,0.0
63,27,10,0,0.0,0.0
85,21,13,0,0.011764705882352941,0.0
54,24,10,0,0.037037037037037035,0.08333333333333333
123,21,24,0,0.04878048780487805,0.0
84,25,18,0,0.023809523809523808,0.0
143,72,17,0,0.04195804195804196,0.08333333333333333
67,26,12,1,0.04477611940298507,0.0
70,34,10,0,0.04285714285714286,0.08823529411764706
97,24,16,1,0.030927835051546393,0.0
38,38,6,1,0.02631578947368421,0.02631578947368421
110,31,19,1,0.11818181818181818,0.0
51,25,8,0,0.0784313725490196,0.0
47,29,9,0,0.0,0.0
80,28,14,0,0.1125,0.0
51,32,7,0,0.0,0.0
50,33,10,0,0.06,0.0
42,27,9,1,0.0,0.0
51,32,8,1,0.0,0.0
101,24,11,1,0.10891089108910891,0.0
71,32,11,0,0.0,0.0
35,22,6,1,0.0,0.0
97,58,12,0,0.23711340206185566,0.0
147,32,21,1,0.013605442176870748,0.0
23,23,6,0,0.043478260869565216,0.043478260869565216
201,30,14,0,0.417910447761194,0.0
126,22,19,0,0.03968253968253968,0.0
84,29,15,1,0.08333333333333333,0.2413793103448276
80,28,15,0,0.0,0.0
38,27,7,0,0.0,0.0
46,29,9,0,0.08695652173913043,0.0
67,23,11,0,0.0,0.0
81,39,14,1,0.07407407407407407,0.0
48,29,10,0,0.041666666666666664,0.0
45,25,8,0,0.022222222222222223,0.0
103,22,17,1,0.11650485436893204,0.0
54,26,7,1,0.07407407407407407,0.0
47,43,11,0,0.02127659574468085,0.0
92,29,16,0,0.06521739130434782,0.0
29,25,6,1,0.0,0.0
56,37,9,0,0.08928571428571429,0.0
52,22,10,0,0.019230769230769232,0.0
152,37,20,1,0.13157894736842105,0.1891891891891892
21,14,5,0,0.047619047619047616,0.0
34,31,5,0,0.058823529411764705,0.06451612903225806
78,26,14,1,0.0,0.0
75,22,14,1,0.0,0.0
34,25,9,0,0.20588235294117646,0.04
52,42,9,0,0.07692307692307693,0.09523809523809523
22,23,5,0,0.09090909090909091,0.08695652173913043
61,24,11,0,0.08196721311475409,0.0
126,69,15,0,0.3412698412698413,0.3188405797101449
97,20,18,1,0.05154639175257732,0.0
49,17,8,0,0.0,0.0
58,24,12,0,0.0,0.0
59,26,9,0,0.01694915254237288,0.0
109,30,12,1,0.06422018348623854,0.0
79,28,11,1,0.0,0.0
19,15,6,0,0.0,0.0
104,36,12,0,0.22115384615384615,0.0
59,28,10,0,0.0,0.0
65,24,15,1,0.03076923076923077,0.0
101,35,16,0,0.0,0.0
45,35,6,1,0.08888888888888889,0.02857142857142857
69,22,13,0,0.0,0.0
23,20,5,1,0.043478260869565216,0.0
52,33,8,1,0.0,0.0
265,35,13,0,0.1320754716981132,0.0
42,42,7,1,0.0,0.0
278,48,14,0,0.14388489208633093,0.0
101,30,8,0,0.0,0.0
32,26,7,1,0.0,0.0
206,26,37,1,0.06310679611650485,0.0
37,22,7,1,0.02702702702702703,0.045454545454545456
94,36,11,0,0.26595744680851063,0.0
52,28,11,1,0.0,0.0
39,27,10,0,0.20512820512820512,0.0
30,23,7,0,0.0,0.0
126,26,21,0,0.047619047619047616,0.0
75,22,13,1,0.16,0.0
72,27,13,0,0.0,0.0
169,25,22,0,0.15976331360946747,0.0
32,33,6,0,0.0,0.0
123,35,19,1,0.056910569105691054,0.0
56,34,11,0,0.03571428571428571,0.058823529411764705
63,24,10,1,0.0,0.0
30,23,6,0,0.03333333333333333,0.043478260869565216
64,48,11,1,0.0,0.0
71,23,11,1,0.0,0.0
72,30,10,0,0.013888888888888888,0.0
21,21,5,0,0.0,0.0
54,35,12,0,0.1111111111111111,0.17142857142857143
47,25,12,1,0.02127659574468085,0.0
24,22,6,0,0.0,0.0
44,25,9,0,0.0,0.0
55,28,9,0,0.0,0.0
85,24,16,0,0.0,0.0
40,17,5,1,0.0,0.0
97,25,12,0,0.18556701030927836,0.04
101,15,14,1,0.0,0.0
25,14,5,0,0.12,0.0
49,31,8,0,0.0,0.0
42,24,8,1,0.0,0.0
49,33,8,0,0.0,0.0
54,22,12,0,0.1111111111111111,0.09090909090909091
32,32,7,1,0.09375,0.09375
36,27,7,1,0.08333333333333333,0.0
219,21,20,1,0.3881278538812785,0.047619047619047616
52,52,6,1,0.0,0.0
49,40,7,0,0.0,0.0
43,23,8,0,0.0,0.0
36,37,5,0,0.08333333333333333,0.08108108108108109
68,23,9,0,0.0,0.0
100,21,16,0,0.09,0.0
80,21,10,1,0.0,0.0
36,29,8,0,0.0,0.0
27,20,5,1,0.07407407407407407,0.0
73,23,13,0,0.0,0.0
76,25,12,0,0.0,0.0
35,22,9,0,0.3142857142857143,0.5
84,32,17,0,0.14285714285714285,0.0
29,20,6,1,0.0,0.0
51,24,10,0,0.0,0.0
50,28,8,0,0.0,0.0
39,24,7,0,0.05128205128205128,0.0
33,22,7,1,0.0,0.0
47,33,9,0,0.0,0.0
77,34,14,0,0.14285714285714285,0.0
38,26,7,0,0.0,0.0
21,20,5,1,0.0,0.0
96,23,15,1,0.041666666666666664,0.0
42,33,7,0,0.19047619047619047,0.24242424242424243
59,26,11,1,0.0,0.0
33,31,8,0,0.06060606060606061,0.06451612903225806
556,34,68,1,0.35611510791366907,0.0
206,20,18,0,0.34951456310679613,0.0
41,30,7,1,0.0,0.0
35,23,8,0,0.0,0.0
40,41,9,0,0.025,0.024390243902439025
41,22,7,0,0.0,0.0
42,42,8,0,0.0,0.0
91,30,11,0,0.14285714285714285,0.0
42,21,22,0,0.0,0.0
43,29,6,0,0.0,0.0
142,29,10,1,0.49295774647887325,0.034482758620689655
46,35,9,0,0.08695652173913043,0.0
57,24,10,0,0.03508771929824561,0.0
66,47,12,1,0.0,0.0
43,43,8,1,0.11627906976744186,0.11627906976744186
126,18,18,0,0.03968253968253968,0.0
58,31,10,0,0.0,0.0
51,21,10,0,0.0,0.0
93,42,15,0,0.03225806451612903,0.07142857142857142
53,30,8,0,0.0,0.0
59,36,10,1,0.0,0.0
43,33,8,0,0.0,0.0
